#{"t_start": 1747784424.7771115, "env_id": "None"}
r,l,t
-513739.944126,150,11748.746874
-512278.371492,150,11756.564215
-513030.391386,150,11764.960992
-513379.288229,150,11772.742084
-508950.541805,150,11781.034896
-511852.540902,150,11789.236481
-510444.21473,150,11797.39134
-511559.026894,150,11804.847025
-512569.76733,150,11812.957316
-510389.397146,150,11821.044171
-511020.93953,150,11828.71119
-511154.197684,150,11836.747621
-511484.332471,150,11844.693205
-512351.535725,150,11854.566248
-511885.069595,150,11862.821465
-510003.798612,150,11872.56984
-515202.358694,150,11880.726427
-509633.327474,150,11888.6781
-510144.00235,150,11896.340966
-512781.656983,150,11904.585352
-512480.873612,150,11912.633849
-510245.315136,150,11920.601521
-513913.188139,150,11928.728615
-507744.009653,150,11936.531132
-511416.587805,150,11944.430566
-511984.029568,150,11954.103672
-512588.554368,150,11961.783761
-510851.957137,150,11969.681663
-510936.208042,150,11980.03297
-508081.217849,150,11987.603406
-512044.087312,150,11995.187916
-514512.819672,150,12003.674369
-513264.512304,150,12011.992267
-513825.055673,150,12020.041236
-512685.196786,150,12027.697686
-511518.095351,150,12035.470512
-511053.438116,150,12045.114116
-511554.196095,150,12052.697781
-509858.642504,150,12060.921126
-514134.682115,150,12068.891752
-513790.111436,150,12076.692297
-514444.143982,150,12084.723637
-514276.436185,150,12093.191771
-508948.69558,150,12100.671535
-513283.111773,150,12110.773108
-513924.466648,150,12118.79142
-510538.165641,150,12126.317841
-510717.501818,150,12134.506519
-509524.10767,150,12142.675304
-509535.622945,150,12150.611289
-509184.67586,150,12158.466427
-509382.353233,150,12166.055372
-514122.728082,150,12178.208606
-511064.453037,150,12185.728292
-509573.133438,150,12193.367683
-512558.272986,150,12200.887368
-511560.429859,150,12208.343575
-510505.131097,150,12216.298998
-511077.426119,150,12224.506282
-510218.489436,150,12232.458067
-510155.037815,150,12240.221525
-510191.977002,150,12247.52811
-511491.597419,150,12255.334389
-513840.450408,150,12265.326852
-509640.177858,150,12273.059753
-511453.62536,150,12282.73311
-510135.91795,150,12290.639286
-514496.502835,150,12298.502251
-508104.867429,150,12306.730924
-511260.859168,150,12314.373024
-514215.318843,150,12321.995738
-513520.752277,150,12331.619177
-510397.988538,150,12341.620153
-511872.826949,150,12349.863474
-514001.078143,150,12358.135843
-510766.352833,150,12368.71953
-514845.218647,150,12378.922673
-511706.707426,150,12387.378915
-509440.663836,150,12395.240164
-508068.594274,150,12403.33784
-513434.385845,150,12411.224538
-513166.964619,150,12420.247358
-512311.439347,150,12428.084135
-511381.225989,150,12435.932266
-508838.258181,150,12443.981462
-508528.775246,150,12451.555941
-511004.569353,150,12459.752927
-510254.378237,150,12469.936761
-511019.123347,150,12477.37703
-515869.337263,150,12485.704814
-511142.865094,150,12495.652853
-514875.927998,150,12505.556132
-511476.986357,150,12513.285058
-507930.847898,150,12521.063586
-515182.608537,150,12528.985562
-509281.000848,150,12536.540289
-511602.57951,150,12544.21075
-512869.06523,150,12552.01224
-512171.305548,150,12561.960075
-511430.323362,150,12569.582844
-509863.22119,150,12577.378649
-510913.117722,150,12584.864715
-507514.234134,150,12592.922714
-514195.812934,150,12601.035587
-510687.009118,150,12608.422261
-510101.758861,150,12616.207934
-509094.93658,150,12623.822417
-510905.231334,150,12631.343999
-512297.978895,150,12639.077912
-510824.54932,150,12647.044284
-508821.174409,150,12654.75515
-512134.944238,150,12662.823398
-510010.754045,150,12672.755689
-512419.242556,150,12680.642585
-507897.464944,150,12688.630997
-511916.397869,150,12696.837853
-512675.591491,150,12704.794321
-513140.353315,150,12713.128781
-511872.72046,150,12720.982254
-510696.26968,150,12728.880043
-513827.281975,150,12736.750171
-512301.557312,150,12744.23612
-513342.597804,150,12751.80337
-510905.493882,150,12759.465981
-514358.417126,150,12767.142379
-513734.10244,150,12775.220571
-510056.821591,150,12782.701638
-512497.488066,150,12790.136337
-513765.255804,150,12800.183924
-513023.316197,150,12808.001422
-514696.406519,150,12818.421394
-511495.168439,150,12828.746375
-512980.073953,150,12836.690274
-511848.174528,150,12844.940543
-510795.055593,150,12852.907716
-514230.521931,150,12861.622642
-510452.009496,150,12869.080277
-510619.149797,150,12878.724882
-512668.610421,150,12886.910041
-507894.462103,150,12896.923604
-513395.535282,150,12904.414642
-508933.830357,150,12912.317424
-513403.602028,150,12920.522823
-512861.111785,150,12928.779999
-510155.610264,150,12936.736185
-512587.857939,150,12944.648554
-511990.838508,150,12952.204841
-513064.035147,150,12963.168648
-514058.571814,150,12971.178033
-510695.987731,150,12978.545903
-509523.09601,150,12986.762753
-511417.790632,150,12994.733878
-512738.837594,150,13002.61075
-508648.900919,150,13010.74798
-509990.575024,150,13018.647864
-515100.770987,150,13026.50834
-511728.438894,150,13034.482121
-514460.438502,150,13042.292333
-511282.124728,150,13050.236795
-511312.790289,150,13057.884842
-511623.408677,150,13065.802169
-513584.068921,150,13073.448851
-510176.023789,150,13080.794314
-511475.351173,150,13088.817519
-510361.350303,150,13096.799314
-510640.999305,150,13104.677481
-512404.193684,150,13112.913454
-512150.975688,150,13122.698496
-507430.107978,150,13132.446793
-511406.359038,150,13140.382553
-510155.674225,150,13150.030765
-512023.491181,150,13157.877363
-508457.676761,150,13165.746161
-511348.613611,150,13173.651932
-514063.351427,150,13187.13009
-511373.321129,150,13195.472632
-509086.248952,150,13205.587651
-510407.811869,150,13213.377048
-514235.974532,150,13221.451015
-513387.546299,150,13229.370812
-512940.210233,150,13239.775505
-511977.708927,150,13247.943308
-514169.529281,150,13255.740773
-513166.805203,150,13263.990971
-510883.231718,150,13271.720772
-510849.264282,150,13281.509398
-513625.109545,150,13289.268822
-513239.058595,150,13297.423623
-508691.75447,150,13305.444781
-513043.257482,150,13313.417201
-516693.617673,150,13321.442698
-510817.527759,150,13328.999133
-509165.964211,150,13337.095185
-510553.938697,150,13345.14335
-510833.686513,150,13353.011273
-513121.138334,150,13360.584048
-512928.737229,150,13370.727926
-512897.109991,150,13380.818048
-513028.486594,150,13388.896058
-511695.173509,150,13396.654443
-509986.417489,150,13404.569773
-510784.810671,150,13412.188056
-511933.321041,150,13422.504205
-507161.696429,150,13430.807736
-512773.25531,150,13438.827458
-510294.375639,150,13446.922942
-510428.579792,150,13454.894684
