#{"t_start": 1748183248.456543, "env_id": "None"}
r,l,t
-6855379.747412,150,1725.083366
-6566770.618803,150,1733.086426
-12996236.117884,150,1745.203737
-8477220.19047,150,1759.388291
-10746901.890274,150,1763.755486
-8529007.475117,150,1768.805384
-8826895.718713,150,1788.459542
-6376887.087429,150,1798.637611
-6942038.165731,150,1808.661595
-10462581.65891,150,1816.298002
-10150434.239193,150,1820.566643
-10982428.667566,150,1836.540346
-5257641.627122,150,1844.043234
-12569827.716588,150,1848.670695
-9129105.797918,150,1858.797899
-5049949.446342,150,1866.406326
-5440596.54557,150,1871.293766
-9335360.583354,150,1876.034408
-7903463.72846,150,1889.515096
-11984385.983404,150,1897.235886
-6548375.84913,150,1903.674816
-11667360.741408,150,1913.576361
-8637495.295252,150,1918.754025
-13502081.629081,150,1924.988437
-5526937.657075,150,1935.170709
-11736199.236515,150,1952.601618
-3362290.487898,150,1960.168072
-13494190.435157,150,1975.20574
-3961437.399081,150,1981.882179
-4993711.042163,150,1989.839108
-8248846.392857,150,2007.653932
-5428985.981116,150,2018.70758
-10323353.204786,150,2023.928378
-6763541.931498,150,2035.685057
-8893414.438991,150,2046.383117
-9919110.860991,150,2055.167011
-14188124.988437,150,2067.578077
-9641594.415182,150,2087.702895
-12569213.570781,150,2093.757908
-6126422.562096,150,2103.122845
-12092472.377463,150,2111.163017
-9219737.868523,150,2129.63338
-14686560.144554,150,2146.583537
-9289137.786949,150,2158.496571
-10691706.575351,150,2172.19554
-12729583.511729,150,2180.097338
-5260403.18612,150,2189.126962
-13704913.133979,150,2198.868286
-9186741.556019,150,2203.931548
-9774841.217759,150,2209.307628
-8935362.688364,150,2217.530947
-9726450.032201,150,2223.743702
-10516998.199828,150,2229.975101
-8610810.588428,150,2241.443884
-9255315.304445,150,2252.667634
-10554553.779483,150,2265.363295
-10425116.208922,150,2272.028376
-7667773.370216,150,2292.503105
-6767995.097165,150,2299.214711
-9010348.554198,150,2304.06579
-7569118.478848,150,2310.25234
-6037521.385394,150,2315.08555
-11926447.081087,150,2324.333679
-7543552.750278,150,2334.42983
-15280226.049675,150,2347.004673
-10800389.557227,150,2363.124365
-10513184.229946,150,2369.073346
-11897743.158156,150,2375.079395
-5929212.80562,150,2381.828796
-8498941.590356,150,2389.592773
-8534701.970267,150,2402.703348
-8358094.776836,150,2409.124279
-12806274.608063,150,2419.63029
-8582665.366944,150,2424.159717
-11659193.168756,150,2430.431521
-13201249.402693,150,2442.279447
-15220839.677923,150,2454.328729
-12057163.998749,150,2467.41958
-9459032.285047,150,2475.802916
-8877974.504593,150,2485.252028
-6799369.079891,150,2490.741099
-11669741.001389,150,2496.512366
-6483260.64966,150,2501.532514
-11443019.620757,150,2506.172814
-8661408.439201,150,2510.459993
-8906780.838428,150,2515.266154
-11430513.832162,150,2520.694561
-7743862.916447,150,2532.98341
-9531701.468975,150,2538.592145
-13173473.96325,150,2550.139745
-12870741.036296,150,2569.104953
-11753710.086975,150,2581.047772
-9614449.874604,150,2586.942853
-13886161.155195,150,2594.292937
-7632242.201318,150,2604.853791
-13824170.531112,150,2613.885756
-9313451.836023,150,2622.196455
-8164987.575035,150,2629.195424
-6435631.869944,150,2636.230932
-12710844.453343,150,2645.465339
-8746221.509572,150,2650.737094
-13911183.710615,150,2667.400866
-9515436.288624,150,2686.965432
-10935377.012856,150,2692.880663
-10291340.774163,150,2697.460895
-9975963.369095,150,2714.101896
-7866942.659623,150,2724.172347
-11577688.424438,150,2731.516695
-11085556.457614,150,2746.738131
-10144348.632551,150,2752.754254
-9681433.374297,150,2761.800066
-8383177.447583,150,2767.678053
-5555741.06191,150,2773.531078
-9319828.144542,150,2781.744023
-12774358.720235,150,2790.954656
-13140761.493473,150,2803.10267
-7493286.034571,150,2819.228364
-4109148.599192,150,2828.712612
-13076972.061482,150,2837.423596
-9357179.882402,150,2843.55392
-9020803.886944,150,2852.288883
-12963099.955348,150,2858.72653
-13930533.260088,150,2869.804135
-9962120.723518,150,2877.660045
-10449704.322051,150,2887.314874
-6641665.564339,150,2893.361483
-3858237.098564,150,2899.10408
-11604082.79752,150,2904.148233
-8773185.725564,150,2918.457513
-7436375.848359,150,2927.102507
-9956531.174738,150,2939.898615
-11491428.015971,150,2944.139021
-12213468.663601,150,2957.480206
-10854637.402876,150,2962.458284
-11672038.479076,150,2976.992701
-6673200.61822,150,2985.042901
-6676102.679204,150,2991.276562
-9297096.374917,150,2997.558622
-6617053.765739,150,3017.659793
-9774989.127232,150,3030.841551
-14890786.557579,150,3043.381692
-10200448.678938,150,3048.74883
-9760043.856469,150,3059.936171
-10673621.867221,150,3065.721463
-8746071.673194,150,3072.321538
-8425905.213697,150,3082.597211
-14667702.72372,150,3096.283589
-11926511.824959,150,3105.327626
-3251857.105152,150,3113.34234
-9434583.754806,150,3123.737309
-7285763.717076,150,3131.495926
-8247238.791142,150,3138.100052
-8312087.862444,150,3148.764976
-7168777.030662,150,3164.02089
