#{"t_start": 1748212582.7620428, "env_id": "None"}
r,l,t
-4668151.536733,150,1334.019984
-5177026.841661,150,1339.355688
-7258620.058797,150,1345.299583
-6932438.309193,150,1350.44552
-8357923.107061,150,1357.423826
-6100213.594279,150,1363.633005
-6884008.950851,150,1372.78131
nan,150,1375.220143
nan,150,1376.862156
nan,150,1379.468172
nan,150,1381.722038
nan,150,1384.089481
nan,150,1386.720098
nan,150,1388.940138
nan,150,1391.442094
nan,150,1393.127284
nan,150,1395.639792
nan,150,1397.178117
nan,150,1399.49413
nan,150,1401.053719
nan,150,1403.062169
nan,150,1404.992696
nan,150,1407.065332
nan,150,1408.744413
nan,150,1411.43713
nan,150,1413.222973
nan,150,1415.553013
nan,150,1417.86465
nan,150,1420.217814
nan,150,1422.205317
nan,150,1424.620808
nan,150,1426.443989
nan,150,1428.601834
nan,150,1431.281325
nan,150,1433.079926
nan,150,1435.475993
nan,150,1437.854582
nan,150,1439.923681
nan,150,1442.14543
nan,150,1444.690083
nan,150,1446.830786
nan,150,1448.916798
nan,150,1451.64253
nan,150,1453.151772
nan,150,1455.71572
nan,150,1458.59277
nan,150,1460.580903
nan,150,1463.094878
nan,150,1465.058588
nan,150,1467.586549
nan,150,1470.012481
nan,150,1472.466051
nan,150,1475.04313
nan,150,1477.400494
nan,150,1479.882994
nan,150,1482.285856
nan,150,1484.0521
nan,150,1486.748806
nan,150,1488.870327
nan,150,1491.028236
nan,150,1493.353397
nan,150,1495.850251
nan,150,1498.466018
nan,150,1500.535705
nan,150,1503.510936
nan,150,1506.271166
nan,150,1508.154208
nan,150,1510.680671
nan,150,1513.334473
nan,150,1515.663943
nan,150,1518.366466
nan,150,1520.791341
nan,150,1522.527365
nan,150,1525.258491
nan,150,1527.136564
nan,150,1529.460026
nan,150,1531.87601
nan,150,1534.675993
nan,150,1537.309391
nan,150,1539.778627
nan,150,1542.5504
nan,150,1544.608937
nan,150,1547.191084
nan,150,1548.992326
nan,150,1551.199571
nan,150,1553.743562
nan,150,1556.246094
nan,150,1559.060443
nan,150,1561.384988
nan,150,1563.41791
nan,150,1567.271668
nan,150,1569.662474
nan,150,1572.707428
nan,150,1575.044963
nan,150,1576.931756
nan,150,1578.701863
nan,150,1581.077991
nan,150,1583.510307
nan,150,1586.006773
nan,150,1587.923321
nan,150,1590.377257
nan,150,1592.942255
nan,150,1594.916003
nan,150,1596.953273
nan,150,1599.289913
nan,150,1602.130519
nan,150,1604.851688
nan,150,1607.372985
nan,150,1609.179542
nan,150,1611.769815
nan,150,1614.247791
nan,150,1616.566596
nan,150,1619.00826
